,id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,is_churn,agegroup,loyaltyscore
0,1,38,Female,99342,90,3,24,Groceries,113.53 ,FALSE,31-40,49.10 
1,2,21,Female,78852,60,2,42,Sports,41.93 ,FALSE,21-30,55.43 
2,3,60,Female,126573,30,2,28,Clothing,424.36 ,FALSE,61-70,48.39 
3,4,40,Other,47099,74,9,5,Home & Garden,991.93 ,TRUE,41-50,36.46 
4,5,65,Female,140621,21,3,25,Electronics,347.08 ,FALSE,61-70,49.19 
5,6,31,Other,57305,24,3,30,Home & Garden,86.85 ,FALSE,31-40,41.00 
6,7,19,Other,54319,68,5,43,Clothing,191.72 ,FALSE,0-20,59.35 
7,8,43,Male,108115,94,9,27,Groceries,734.56 ,FALSE,41-50,65.22 
8,9,53,Male,34424,29,6,7,Sports,951.71 ,TRUE,51-60,25.66 
9,10,55,Female,45839,55,7,2,Electronics,821.18 ,TRUE,51-60,27.98 
10,11,23,Other,69659,16,7,24,Clothing,434.97 ,FALSE,21-30,45.25 
11,12,68,Other,30058,91,1,49,Groceries,889.94 ,FALSE,61-70,54.81 
12,13,29,Female,87461,81,3,27,Home & Garden,101.07 ,FALSE,21-30,48.82 
13,14,64,Other,33018,46,4,3,Sports,221.35 ,TRUE,61-70,19.95 
14,15,33,Male,112260,17,5,8,Home & Garden,915.89 ,TRUE,31-40,34.94 
15,16,53,Male,129284,17,6,26,Clothing,225.40 ,FALSE,51-60,53.89 
16,17,57,Male,102535,29,5,13,Clothing,378.47 ,TRUE,51-60,38.68 
17,18,22,Male,41849,22,1,31,Sports,844.08 ,FALSE,21-30,35.28 
18,19,37,Male,95491,90,6,21,Home & Garden,454.83 ,FALSE,31-40,52.12 
19,20,31,Male,97103,70,3,17,Groceries,61.30 ,FALSE,31-40,41.17 
20,21,19,Female,82519,13,4,4,Home & Garden,742.39 ,TRUE,0-20,24.88 
21,22,22,Male,49077,74,10,47,Home & Garden,799.31 ,FALSE,21-30,72.36 
22,23,36,Other,85473,68,1,16,Sports,806.55 ,FALSE,31-40,34.42 
23,24,41,Other,81758,87,7,9,Clothing,482.20 ,TRUE,41-50,42.16 
24,25,69,Female,36140,78,5,39,Sports,508.86 ,FALSE,61-70,54.42 
25,26,33,Other,141757,60,10,39,Groceries,83.27 ,FALSE,31-40,78.46 
26,27,54,Male,35394,10,9,4,Groceries,124.29 ,TRUE,51-60,27.51 
27,28,30,Female,50680,19,7,27,Sports,515.88 ,FALSE,31-40,45.10 
28,29,18,Female,70721,78,7,1,Home & Garden,191.90 ,TRUE,0-20,33.21 
29,30,23,Male,104106,30,4,20,Electronics,950.56 ,FALSE,21-30,42.62 
30,31,36,Other,76756,16,8,27,Clothing,970.06 ,FALSE,31-40,50.71 
31,32,60,Female,45733,69,2,18,Electronics,197.29 ,FALSE,61-70,32.16 
32,33,29,Male,71951,2,6,47,Electronics,91.94 ,FALSE,21-30,60.59 
33,34,44,Other,86593,89,4,37,Groceries,76.95 ,FALSE,41-50,59.49 
34,35,45,Other,43138,54,10,48,Sports,639.22 ,FALSE,41-50,70.27 
35,36,30,Female,73464,37,1,6,Clothing,532.51 ,TRUE,31-40,21.52 
36,37,47,Male,108074,78,4,38,Electronics,128.20 ,FALSE,41-50,62.41 
37,38,48,Other,81794,89,7,50,Electronics,967.99 ,FALSE,41-50,75.17 
38,39,31,Female,75392,43,4,29,Sports,88.44 ,FALSE,31-40,46.81 
39,40,22,Male,107057,14,5,41,Home & Garden,98.86 ,FALSE,21-30,60.26 
40,41,23,Male,70723,31,1,48,Home & Garden,713.33 ,FALSE,21-30,54.11 
41,42,52,Male,115529,70,2,34,Clothing,192.66 ,FALSE,51-60,55.53 
42,43,35,Male,72179,6,6,45,Home & Garden,165.18 ,FALSE,31-40,59.43 
43,44,28,Other,62405,79,5,50,Home & Garden,956.73 ,FALSE,21-30,67.26 
44,45,50,Male,42404,45,4,31,Home & Garden,753.60 ,FALSE,51-60,43.66 
45,46,49,Other,94531,28,5,42,Clothing,214.93 ,FALSE,41-50,60.58 
46,47,56,Male,129005,40,6,8,Electronics,355.34 ,TRUE,51-60,41.75 
47,48,48,Male,76317,94,9,3,Electronics,189.28 ,TRUE,41-50,41.25 
48,49,19,Other,85309,65,5,10,Sports,28.55 ,TRUE,0-20,37.30 
49,50,68,Female,146519,96,2,18,Groceries,673.79 ,FALSE,61-70,49.98 
50,51,61,Female,61290,83,9,35,Clothing,110.32 ,FALSE,61-70,63.49 
51,52,24,Female,96082,83,4,36,Sports,589.35 ,FALSE,21-30,59.51 
52,53,45,Other,134241,73,9,16,Groceries,893.44 ,FALSE,41-50,58.24 
53,54,33,Female,45136,84,9,38,Home & Garden,332.34 ,FALSE,31-40,63.57 
54,55,56,Female,85476,55,2,41,Sports,774.50 ,FALSE,51-60,55.12 
55,56,42,Other,73466,50,4,13,Sports,903.07 ,TRUE,41-50,34.42 
56,57,63,Other,49607,7,9,20,Electronics,195.34 ,FALSE,61-70,42.14 
57,58,49,Female,112198,48,5,24,Sports,843.87 ,FALSE,41-50,50.83 
58,59,43,Female,81595,12,7,1,Electronics,806.26 ,TRUE,41-50,28.24 
59,60,21,Female,139387,1,5,7,Clothing,399.58 ,TRUE,21-30,36.61 
60,61,23,Male,69133,14,6,7,Groceries,224.86 ,TRUE,21-30,29.37 
61,62,30,Other,89149,87,10,36,Clothing,174.41 ,FALSE,31-40,70.87 
62,63,49,Female,79992,49,8,6,Sports,636.65 ,TRUE,41-50,37.70 
63,64,50,Female,85111,31,1,19,Electronics,319.05 ,FALSE,51-60,33.07 
64,65,27,Other,90557,36,2,2,Sports,494.55 ,TRUE,21-30,22.78 
65,66,32,Male,100270,69,3,29,Home & Garden,686.05 ,FALSE,31-40,51.14 
66,67,36,Female,127346,75,5,7,Electronics,335.98 ,TRUE,31-40,42.20 
67,68,43,Female,87807,52,9,41,Clothing,95.08 ,FALSE,41-50,69.17 
68,69,32,Male,135861,88,5,16,Electronics,103.33 ,FALSE,31-40,51.98 
69,70,49,Other,40936,32,9,49,Sports,495.62 ,FALSE,41-50,66.54 
70,71,23,Female,66376,60,1,18,Electronics,77.73 ,FALSE,21-30,32.36 
71,72,58,Other,56120,30,3,50,Groceries,880.23 ,FALSE,51-60,57.42 
72,73,31,Female,112452,21,1,5,Groceries,552.21 ,TRUE,31-40,24.97 
73,74,38,Female,102944,63,8,9,Home & Garden,92.69 ,TRUE,31-40,44.94 
74,75,58,Other,143037,56,8,42,Groceries,57.57 ,FALSE,51-60,76.66 
75,76,60,Female,131101,68,8,28,Home & Garden,522.95 ,FALSE,61-70,64.87 
76,77,49,Male,30708,4,1,36,Groceries,990.00 ,FALSE,41-50,35.81 
77,78,32,Other,44048,20,7,10,Clothing,41.55 ,TRUE,31-40,30.61 
78,79,30,Other,95501,27,3,14,Groceries,476.25 ,TRUE,31-40,34.23 
79,80,68,Other,45092,54,4,40,Electronics,738.60 ,FALSE,61-70,52.16 
80,81,65,Other,117157,90,9,39,Electronics,812.36 ,FALSE,61-70,75.77 
81,82,36,Female,148542,60,1,17,Groceries,15.66 ,FALSE,31-40,43.88 
82,83,36,Female,99427,94,8,15,Sports,265.04 ,TRUE,31-40,52.31 
83,84,56,Male,58971,77,9,35,Electronics,13.16 ,FALSE,51-60,62.55 
84,85,19,Male,101100,43,3,14,Clothing,392.36 ,TRUE,0-20,36.67 
85,86,31,Other,61849,24,6,31,Home & Garden,120.80 ,FALSE,31-40,48.48 
86,87,59,Male,47990,3,10,48,Home & Garden,755.92 ,FALSE,51-60,65.90 
87,88,31,Male,55100,20,7,31,Sports,59.84 ,FALSE,31-40,49.07 
88,89,18,Other,105470,8,7,4,Clothing,746.18 ,TRUE,0-20,33.82 
89,90,45,Other,63381,80,4,8,Home & Garden,754.24 ,TRUE,41-50,31.91 
90,91,32,Other,92089,16,1,47,Home & Garden,209.86 ,FALSE,31-40,55.01 
91,92,39,Other,104031,67,6,28,Home & Garden,930.36 ,FALSE,31-40,56.70 
92,93,65,Male,62792,83,8,11,Electronics,230.58 ,TRUE,61-70,42.52 
93,94,46,Other,113116,7,10,13,Clothing,190.55 ,TRUE,41-50,48.07 
94,95,30,Other,75926,97,10,19,Sports,670.87 ,FALSE,31-40,56.29 
95,96,23,Male,108480,46,10,21,Clothing,377.31 ,FALSE,21-30,57.67 
96,97,63,Other,102834,31,7,20,Electronics,582.57 ,FALSE,61-70,48.53 
97,98,49,Male,46695,99,9,26,Clothing,674.70 ,FALSE,41-50,55.70 
98,99,21,Other,105024,45,3,32,Sports,795.84 ,FALSE,21-30,51.85 
99,100,26,Female,59496,58,2,50,Clothing,23.33 ,FALSE,21-30,58.72 
100,101,40,Female,115569,1,2,5,Groceries,241.91 ,TRUE,41-50,25.44 
101,102,18,Male,49346,70,7,38,Groceries,127.14 ,FALSE,0-20,58.80 
102,103,19,Male,75430,50,7,32,Clothing,532.51 ,FALSE,0-20,55.91 
103,104,60,Female,142407,4,2,1,Sports,29.58 ,TRUE,61-70,26.56 
104,105,20,Other,34982,7,2,45,Clothing,597.15 ,FALSE,21-30,45.95 
105,106,55,Female,147187,37,7,27,Electronics,941.67 ,FALSE,51-60,61.38 
106,107,19,Other,37993,59,6,30,Sports,873.80 ,FALSE,0-20,47.60 
107,108,65,Male,81753,72,9,21,Home & Garden,633.63 ,FALSE,61-70,54.26 
108,109,57,Female,81695,90,8,44,Electronics,179.80 ,FALSE,51-60,72.45 
109,110,56,Female,40676,86,7,38,Home & Garden,627.65 ,FALSE,51-60,59.10 
110,111,37,Male,111242,33,5,34,Sports,756.32 ,FALSE,31-40,57.19 
111,112,64,Male,87006,85,7,20,Clothing,930.73 ,FALSE,61-70,51.55 
112,113,58,Male,82856,33,7,20,Groceries,450.72 ,FALSE,51-60,45.73 
